,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
2376,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9535,9887,9488
2377,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 2}",8197,8143,6834
2378,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 3}",5892,7266,5487
2379,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 4}",4885,5980,4640
2380,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4076,4446,3888
2381,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 6}",3780,4014,3501
2382,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 7}",2169,2438,1620
2383,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 8}",1641,2048,1196
2384,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 9}",1212,2093,1029
2385,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9601,9911,9502
2386,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 2}",8420,8271,6842
2387,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 3}",6440,7305,5584
2388,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5004,6160,4664
2389,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4199,4178,4005
2390,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3829,4491,3504
2391,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 7}",2126,3296,1541
2392,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 8}",1730,2159,1167
2393,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 9}",1319,2331,1047
2394,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9555,9861,9412
2395,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 2}",8522,8237,6793
2396,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 3}",6669,7371,5502
2397,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 4}",5107,5996,4626
2398,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4501,5162,4166
2399,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3917,4780,3452
2400,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2232,3171,1141
2401,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 8}",2406,3029,1626
2402,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 9}",1784,3780,1247
2403,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9555,9861,9412
2404,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 2}",8522,8237,6793
2405,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 3}",6669,7371,5502
2406,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 4}",5107,5996,4626
2407,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4501,5162,4166
2408,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3917,4780,3452
2409,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2232,3171,1141
2410,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 8}",2406,3029,1626
2411,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 9}",1784,3780,1247
2412,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9555,9861,9412
2413,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 2}",8522,8237,6793
2414,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 3}",6669,7371,5502
2415,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 4}",5107,5996,4626
2416,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4501,5162,4166
2417,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3917,4780,3452
2418,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 7}",2232,3171,1141
2419,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 8}",2406,3029,1626
2420,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 9}",1784,3780,1247
2421,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9555,9861,9412
2422,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 2}",8522,8237,6793
2423,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 3}",6669,7371,5502
2424,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 4}",5107,5996,4626
2425,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4501,5162,4166
2426,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 6}",3917,4780,3452
2427,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 7}",2232,3171,1141
2428,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 8}",2406,3029,1626
2429,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 9}",1784,3780,1247
2430,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9555,9861,9412
2431,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 2}",8522,8237,6793
2432,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 3}",6669,7371,5502
2433,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 4}",5107,5996,4626
2434,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4501,5162,4166
2435,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3917,4780,3452
2436,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 7}",2232,3171,1141
2437,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 8}",2406,3029,1626
2438,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 6, 'model__n_estimators': 9}",1784,3780,1247
2439,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9555,9861,9412
2440,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 2}",8522,8237,6793
2441,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 3}",6669,7371,5502
2442,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 4}",5107,5996,4626
2443,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4501,5162,4166
2444,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 6}",3917,4780,3452
2445,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 7}",2232,3171,1141
2446,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 8}",2406,3029,1626
2447,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 7, 'model__n_estimators': 9}",1784,3780,1247
2448,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9555,9861,9412
2449,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 2}",8522,8237,6793
2450,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 3}",6669,7371,5502
2451,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5107,5996,4626
2452,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4501,5162,4166
2453,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3917,4780,3452
2454,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 7}",2232,3171,1141
2455,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 8}",2406,3029,1626
2456,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 9}",1784,3780,1247
2457,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9573,9632,9697
2458,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2}",8562,8477,7774
2459,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3}",5971,7210,5616
2460,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 4}",4862,5647,4709
2461,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5}",3976,4108,3968
2462,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3722,4025,3506
2463,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2220,2463,1926
2464,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 8}",1599,1825,1420
2465,"{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 9}",1006,2034,1014
